CustomerID,Age,Income,PurchaseAmount
160,41,57834,801.87
161,25,51395,350.9
162,42,51797,338.58
163,46,59508,72.88
164,26,51848,322.66
165,44,49307,150.2
166,39,61596,316.01
167,43,56175,33.81
168,53,82559,321.75
169,32,20235,2232.52
170,27,76372,14.82
171,26,78691,1133.96
172,26,28899,156.72
173,34,54859,613.81
174,38,54428,457.51
175,37,38887,251.12
176,43,48332,402.34
177,35,43341,632.39
178,49,86284,155.33
179,32,74035,118.82
180,62,79073,330.42
181,41,70825,494.84
182,26,43064,431.01
183,24,52132,479.57
184,39,67340,171.59
185,32,41668,510.85
186,42,70694,38.42
187,39,56395,235.9
188,34,54377,1.73
189,26,70664,117.73
190,19,66663,136.93
191,30,54585,151.34
192,43,77389,356.69
193,37,43784,147.58
194,22,69239,178.64
195,36,68896,81.36
196,38,55356,140.16
197,26,64891,77.35
198,36,41233,22.8
199,35,73860,277.48
200,23,57226,330.98
201,38,52159,289.87
202,40,75735,186.8
203,45,49434,143.31
204,45,38873,597.06
205,21,36650,219.62
206,25,69090,195.71
207,40,40793,7.79
208,40,86321,125.22
209,40,28771,143.51
210,73,85446,152.66
211,40,63165,260.37
212,46,58549,228.82
213,44,51826,280.88
214,41,65987,434.3
215,31,59435,502.97
216,42,76549,379.89
217,27,61713,933.84
218,32,62254,5.52
219,30,54545,65.36
220,35,59145,2.28
221,58,64617,312.79
222,18,34347,684.92
223,41,39777,83.71
224,18,71148,785.33
225,30,62562,18.65
226,45,57240,817.42
227,35,60276,129.98
228,24,65213,32.08
229,27,51903,199.58
230,41,48325,89.03
231,27,62937,100.59
232,37,45324,110.14
233,35,66123,487.4
234,28,34461,232.41
235,56,75437,111.89
236,41,67088,282.74
237,18,63840,377.79
238,36,74740,95.49
239,28,84982,160.1
240,43,75215,38.99
241,27,32386,59.96
242,33,40806,342.88
243,40,50627,60.06
244,43,60391,223.44
245,22,67764,370.38
246,31,49113,33.91
247,30,62801,251.32
248,28,48669,88.94
249,52,50827,988.46
250,39,38900,198.23
251,22,46151,491.96
252,44,39724,239.7
253,56,45361,13.31
254,45,75804,300.84
255,19,45759,907.26
256,30,99485,276.1
257,47,67399,513.09
258,27,62772,646.78
259,39,47124,77.66
260,42,70504,71.49
261,25,51365,283.24
262,34,61830,158.81
263,18,98401,549.51
264,24,58559,690.84
265,32,77239,130.82
266,22,49452,81.1
267,51,59475,454.96
268,20,86562,96.39
269,30,50595,518.83
270,36,87186,165.36
271,49,70616,330.38
272,20,51562,30.12
273,46,69486,293.34
274,35,74588,180.32
275,25,69327,265.01
276,39,36446,55.18
277,36,49092,400.54
278,28,56287,595.89
279,35,58883,73.29
280,31,69310,30.18
281,36,62665,7.18
282,41,39969,308.14
283,50,65702,280.26
284,22,69158,237.36
285,56,68396,79.17
286,18,76211,148.73
287,33,72508,270.77
288,40,66887,206.01
289,37,58947,1321.54
290,28,35085,44.01
291,32,66444,356.38
292,30,63115,155.41
293,29,64073,167.69
294,43,40848,379.33
295,38,43784,353.72
296,28,75797,1421.82
297,43,59406,41.23
298,38,70222,32.98
299,43,60424,386.57
300,41,60446,259.1
301,26,74074,96.13
302,29,52259,24.83
303,42,61441,26.87
304,41,53065,673.84
305,34,53482,63.91
306,36,55362,117.19
307,47,63332,77.11
308,29,52818,131.55
309,40,78836,21.59
310,32,46580,219.6
311,32,57196,21.0
312,45,53404,483.37
313,43,81704,79.86
314,43,62948,232.97
315,48,75477,636.28
316,35,37716,315.7
317,41,64005,228.4
318,31,73344,117.62
319,38,61234,121.49
320,33,75982,332.13
321,35,52240,1541.85
322,40,81140,325.27
323,26,94483,244.79
324,55,54557,393.52
325,24,53317,187.76
326,22,81800,18.61
327,46,83693,247.86
328,42,52157,948.36
329,41,53697,57.82
330,41,55773,351.36
331,34,39833,67.29
332,26,46220,230.25
333,35,44937,30.5
334,28,48483,179.55
335,44,59479,423.38
336,33,63513,128.12
337,26,83257,328.01
338,31,45024,476.08
339,39,74764,785.92
340,29,56790,80.22
341,26,59258,152.91
342,37,70122,49.61
343,37,43159,1467.2
344,29,65736,785.19
345,30,62496,232.93
346,37,67386,553.61
347,20,64337,220.79
348,20,96829,293.12
349,27,50433,28.0
350,32,52035,422.28
351,38,50652,40.99
352,49,51667,524.73
353,43,50439,457.02
354,33,77835,370.07
355,34,81307,11.05
356,24,51438,108.35
357,34,47514,91.6
358,32,67071,133.95
359,38,51716,27.52
360,26,69493,829.19
361,40,63043,242.1
362,50,37263,109.38
363,33,83212,151.74
364,39,86938,177.83
365,41,50808,275.33
366,30,54184,217.5
367,37,64287,755.45
368,35,65016,206.13
369,35,69878,1454.48
370,27,90153,572.0
371,35,57345,70.15
372,39,48025,800.34
373,49,39310,37.11
374,44,49036,510.22
375,56,59503,143.71
376,27,86918,631.06
377,43,52235,607.61
378,36,63356,491.85
379,56,59753,468.24
380,26,77825,109.01
381,26,97903,25.31
382,29,52036,154.74
383,18,52658,57.18
384,29,75662,356.18
385,27,70228,127.44
386,36,87700,1114.08
387,38,68758,307.31
388,53,54610,518.6
389,44,68859,42.65
390,29,76630,594.18
391,26,72307,768.24
392,39,67609,200.28
393,21,76000,279.61
394,53,77539,434.21
395,46,80732,57.65
396,30,69730,209.49
397,18,57493,152.58
398,48,62200,47.48
399,33,78097,137.44
400,47,47745,21.18
401,19,65530,7.85
402,29,54099,43.57
403,35,60431,989.99
404,35,79176,239.24
405,30,62866,1012.85
406,41,60696,169.95
407,24,39602,112.11
408,33,71193,211.65
409,36,69682,173.68
410,40,92448,33.5
411,42,55383,307.18
412,23,63287,73.02
413,19,63740,289.95
414,47,83661,315.12
415,38,58570,49.47
416,27,64185,18.99
417,50,69118,455.28
418,36,62799,184.74
419,46,53303,17.98
420,35,62911,1581.58
421,55,76104,17.86
422,52,44602,356.27
423,32,61994,1234.59
424,44,49498,82.01
425,41,77925,46.03
426,48,37152,38.82
427,25,51616,108.41
428,41,65658,31.96
429,45,83482,353.45
430,18,59013,19.29
431,23,51672,213.65
432,18,88217,1713.86
433,32,38279,504.55
434,42,27017,286.52
435,50,66600,109.69
436,35,52469,293.37
437,51,44681,224.62
438,21,70625,166.58
439,18,63657,42.02
440,34,51538,653.06
441,38,40795,179.23
442,34,73086,64.93
443,18,69753,137.55
444,34,58512,160.4
445,21,87699,527.27
446,41,43948,396.84
447,38,37117,440.0
448,25,49621,3.33
449,29,59316,161.44
450,24,63650,196.95
451,34,56381,5.81
452,44,65280,90.26
453,25,41226,428.5
454,40,81656,44.24
455,29,58767,229.92
456,27,76759,72.7
457,33,65140,3.66
458,24,66851,82.81
459,29,68546,1117.34
460,23,66715,485.15
461,54,69640,962.5
462,35,79937,200.74
463,28,62947,34.87
464,37,70635,238.2
465,33,58653,181.75
466,32,81601,558.06
467,41,49854,30.97
468,42,87014,200.97
469,29,59397,48.77
470,29,38538,117.77
471,32,61921,401.09
472,18,49784,193.89
473,19,72609,141.43
474,48,50210,150.5
475,51,53307,184.55
476,32,31656,461.16
477,40,53215,667.92
478,38,23641,932.57
479,65,36241,463.8
480,46,71406,113.68
481,33,71787,349.56
482,25,66381,172.66
483,18,45495,88.18
484,37,59284,551.41
485,27,59945,11.76
486,20,42624,696.11
487,28,82550,185.68
488,24,73160,304.17
489,51,56685,323.07
490,43,60403,676.48
491,34,63125,303.73
492,49,29373,285.52
493,35,56292,20.69
494,26,49770,219.2
495,50,44975,48.82
496,40,55783,401.18
497,24,86965,215.37
498,33,69612,342.04
499,26,51432,12.77
500,21,68588,26.58
